x_left,y_top,x_right,y_lower
31.787,51.028999999999996,236.59,184.15
284.37,51.028999999999996,489.17,184.15
537.6,51.028999999999996,742.4,184.15
790.83,51.028999999999996,995.63,184.15
1043.4,51.028999999999996,1248.2,184.15
31.787,247.98,236.59,381.1
284.37,247.98,489.17,381.1
537.6,247.98,742.4,381.1
790.83,247.98,995.63,381.1
1043.4,247.98,1248.2,381.1
31.787,445.44,236.59,578.56
284.37,445.44,489.17,578.56
537.6,445.44,742.4,578.56
790.83,445.44,995.63,578.56
1043.4,445.44,1248.2,578.56
31.787,642.9,236.59,776.02
284.37,642.9,489.17,776.02
537.6,642.9,742.4,776.02
790.83,642.9,995.63,776.02
1043.4,642.9,1248.2,776.02
31.787,839.85,236.59,972.97
284.37,839.85,489.17,972.97
537.6,839.85,742.4,972.97
790.83,839.85,995.63,972.97
1043.4,839.85,1248.2,972.97
